Author_id,Count,Non_Lxi/Lxi,CountN,CountNC,CountLXI,CountBLANK,Behavior(N/NC),Behavior(Lxi/Blank)
219618,4,"['LxI', 'N', 'blank', 'blank']",1,0,1,2,['Thread Comment'],['Both']
218725,1,['N'],1,0,0,0,['Thread Comment'],[]
219983,2,"['NC', 'NC']",0,2,0,0,['Comment'],[]
219480,4,"['N', 'LxI', 'blank', 'blank']",1,0,1,2,['Thread Comment'],['Both']
213667,9,"['LxI', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'NC', 'blank']",0,1,2,6,['Comment'],['Both']
218713,1,['LxI'],0,0,1,0,[],['Thread Starter']
215836,6,"['LxI', 'blank', 'LxI', 'blank', 'blank', 'blank']",0,0,2,4,[],['Both']
218157,1,['LxI'],0,0,1,0,[],['Thread Starter']
222880,10,"['LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'LxI', 'LxI']",0,0,5,5,[],['Both']
217204,3,"['LxI', 'LxI', 'LxI']",0,0,3,0,[],['Thread Starter']
219424,14,"['LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'LxI', 'LxI', 'LxI']",0,0,6,8,[],['Both']
222293,2,"['blank', 'blank']",0,0,0,2,[],['Blank']
219446,5,"['blank', 'LxI', 'blank', 'blank', 'LxI']",0,0,2,3,[],['Both']
222959,10,"['blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'LxI', 'NC', 'NC']",0,2,3,5,['Comment'],['Both']
224063,3,"['N', 'LxI', 'blank']",1,0,1,1,['Thread Comment'],['Both']
224815,5,"['N', 'LxI', 'blank', 'blank', 'blank']",1,0,1,3,['Thread Comment'],['Both']
225827,8,"['blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'NC']",0,1,0,7,['Comment'],['Blank']
221911,1,['LxI'],0,0,1,0,[],['Thread Starter']
217072,5,"['blank', 'LxI', 'LxI', 'LxI', 'LxI']",0,0,4,1,[],['Both']
226236,4,"['LxI', 'N', 'N', 'N']",3,0,1,0,['Thread Comment'],['Thread Starter']
224104,2,"['LxI', 'LxI']",0,0,2,0,[],['Thread Starter']
223093,2,"['N', 'LxI']",1,0,1,0,['Thread Comment'],['Thread Starter']
122598,2,"['NC', 'blank']",0,1,0,1,['Comment'],['Blank']
227133,5,"['LxI', 'LxI', 'blank', 'blank', 'blank']",0,0,2,3,[],['Both']
215848,3,"['LxI', 'LxI', 'N']",1,0,2,0,['Thread Comment'],['Thread Starter']
